age,education_level,gender,race,number_of_children,number_of_household_members,in_poverty_SPM,in_poverty_OPM,material_hardship,health_problem,in_poverty_SPM_y1,in_poverty_OPM_y1,material_hardship_y1,health_problem_y1,in_poverty_SPM_y2,in_poverty_OPM_y2,material_hardship_y2,health_problem_y2,SPM_top_coded_resources,OPM_top_coded_resources,SPM_top_coded_resources_y1,OPM_top_coded_resources_y1,SPM_top_coded_resources_y2,OPM_top_coded_resources_y2,SPM_income_to_needs,SPM_income_to_needs_y1,SPM_income_to_needs_y2,OPM_income_to_needs,OPM_income_to_needs_y1,OPM_income_to_needs_y2
35,4. Bachelor's degree or more,1. Female,5. Hispanic,1,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,55975,82913,70014,80000,58844,86000,3. 200%-300%,4,3,4. 300%+,4. 300%+,4. 300%+
61,3. Some college or associat's degree,0. Male,1. White Non-Hispanic,4,9,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,245599,250152,145528,187524,183168,206771,4. 300%+,3,4,4. 300%+,4. 300%+,4. 300%+
48,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,1,0,1. Yes,0,,,,,19500,25000,10877,16092,,,2. 100%-200%,1,4,3. 200%-300%,2. 100%-200%,4. 300%+
79,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,0,0,0. No,1,1,0,0. No,1,99050,100050,20560,21260,10768,12360,4. 300%+,2,1,4. 300%+,2. 100%-200%,2. 100%-200%
42,2. HS graduate or GED,0. Male,4. Other / MultiRacial,3,5,0. No,1,1. Yes,0. No,0,0,1. Yes,1,1,1,1. Yes,1,39139,26676,42261,28751,29339,16000,2. 100%-200%,2,1,1. Less than 100%,2. 100%-200%,1. Less than 100%
20,2. HS graduate or GED,0. Male,4. Other / MultiRacial,1,3,1. Yes,1,0. No,0. No,,,,,,,,,20779,17223,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
55,4. Bachelor's degree or more,0. Male,2. Black Non-Hispanic,0,2,1. Yes,1,0. No,0. No,,,,,,,,,4663,0,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
75,1. Less than HS,1. Female,1. White Non-Hispanic,0,1,0. No,1,0. No,1. Yes,0,0,0. No,0,0,0,0. No,1,19404,11004,30253,22344,16943,12000,2. 100%-200%,3,2,1. Less than 100%,2. 100%-200%,2. 100%-200%
63,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,1. Yes,,,,,,,,,71109,63400,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
35,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,209630,330000,228364,387153,388599,414817,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
32,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,2,4,0. No,0,0. No,0. No,1,0,0. No,0,1,1,0. No,0,69843,74000,26340,26000,15555,17000,3. 200%-300%,1,1,4. 300%+,2. 100%-200%,1. Less than 100%
54,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,0. No,0,0,0,1. Yes,1,66820,94998,48728,70626,97593,113239,4. 300%+,3,4,4. 300%+,3. 200%-300%,4. 300%+
30,1. Less than HS,1. Female,5. Hispanic,3,4,0. No,0,1. Yes,0. No,,,,,,,,,40705,25468,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+
22,4. Bachelor's degree or more,0. Male,2. Black Non-Hispanic,1,5,0. No,0,0. No,0. No,1,0,,0,0,0,1. Yes,1,53882,47000,28404,30000,66674,77453,2. 100%-200%,1,2,2. 100%-200%,2. 100%-200%,3. 200%-300%
48,2. HS graduate or GED,0. Male,5. Hispanic,1,5,1. Yes,1,1. Yes,0. No,1,1,1. Yes,0,,,,,1348,2427,19945,400,,,1. Less than 100%,1,4,1. Less than 100%,1. Less than 100%,4. 300%+
38,2. HS graduate or GED,1. Female,5. Hispanic,3,5,0. No,1,1. Yes,0. No,,,,,,,,,41400,15125,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+
42,2. HS graduate or GED,1. Female,5. Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,48070,47220,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+
34,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,1. Yes,0. No,0,0,0. No,0,0,0,1. Yes,0,42891,61600,48176,72000,58913,93000,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+
57,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,1. Yes,1,0. No,0. No,,,,,,,,,0,0,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
31,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,0. No,0,0,0,0. No,0,66024,70000,45738,70000,82121,117789,4. 300%+,3,4,4. 300%+,4. 300%+,4. 300%+
46,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,5,9,0. No,0,0. No,0. No,0,0,0. No,0,0,0,1. Yes,0,88439,186635,92097,127878,319991,364091,3. 200%-300%,3,4,4. 300%+,4. 300%+,4. 300%+
55,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,1,1,0. No,0,34599,43000,37554,38034,14814,43,2. 100%-200%,2,1,3. 200%-300%,3. 200%-300%,1. Less than 100%
64,4. Bachelor's degree or more,0. Male,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,,,,,,,,,31180,34840,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+
58,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,166647,248958,121546,198155,192213,319616,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
36,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,1,2,1. Yes,0,1. Yes,0. No,0,0,1. Yes,0,0,0,1. Yes,0,20497,34000,81314,121742,31052,47890,1. Less than 100%,4,2,3. 200%-300%,4. 300%+,3. 200%-300%
50,2. HS graduate or GED,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,83417,115009,77143,106310,103943,150665,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
42,1. Less than HS,1. Female,5. Hispanic,1,2,0. No,1,1. Yes,0. No,,,,,,,,,28850,15804,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+
22,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,2,5,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,,0,72174,63316,49254,26160,53425,32868,2. 100%-200%,2,2,3. 200%-300%,2. 100%-200%,2. 100%-200%
51,4. Bachelor's degree or more,1. Female,4. Other / MultiRacial,0,2,0. No,0,1. Yes,1. Yes,,,,,,,,,41264,64000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+
77,1. Less than HS,0. Male,2. Black Non-Hispanic,0,1,1. Yes,1,0. No,0. No,0,1,0. No,0,0,1,0. No,0,6222,9600,20888,8400,18230,8400,1. Less than 100%,2,2,1. Less than 100%,1. Less than 100%,1. Less than 100%
81,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,0,1,0. No,0,1. Yes,1. Yes,,,,,,,,,90520,126520,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
47,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,3,1. Yes,1,0. No,0. No,,,,,,,,,13182,13100,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
53,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,,,,,,,,,59859,58765,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+
78,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,14100,14400,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+
18,1. Less than HS,0. Male,4. Other / MultiRacial,4,5,0. No,0,1. Yes,0. No,1,1,0. No,0,0,0,0. No,0,104400,101882,6200,6200,56593,56593,4. 300%+,1,2,4. 300%+,1. Less than 100%,4. 300%+
30,2. HS graduate or GED,1. Female,3. Asian Non-Hispanic,7,10,1. Yes,1,0. No,0. No,1,1,1. Yes,0,1,1,1. Yes,0,16068,2079,42265,14859,10073,4800,1. Less than 100%,1,1,1. Less than 100%,1. Less than 100%,1. Less than 100%
49.30335299,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,1,1. Yes,1,0. No,0. No,,,,,,,,,7881,4152,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
59,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,1,72692,110000,86642,100072,77856,85800,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
