subject_id,imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,q4r_age,r_age,sevhard,sevhealthd,spmpov,spmres,q4foodindsev,q4houseindsev,q4billindsev,q4financindsev,q4sevhard,q4spmres,q4spmpov,qweight_p,qweight_pu,q8r_age,q8sevhealthd,q8foodindsev,q8houseindsev,q8billindsev,q8financindsev,q8sevhard,q8spmres,q8spmpov
1221,0,4,0,0,0,0,1. White Non-Hispanic,48,47,0,0,0,207400,0,0,0,0,0,209057.91,0,17336,8668,49,0,0,0,0,0,0,206718.41,0
1658,1,4,0,0,0,0,2. Black Non-Hispanic,42,41,1,0,0,30914.5,0,1,0,0,1,48802.5,0,15934,7967,43,0,0,0,0,0,0,44196.41,0
58,0,1,1,1,1,0,2. Black Non-Hispanic,52,51,1,0,0,36161.93,1,0,0,1,1,58606.563,0,14705,4902,54,0,1,0,0,1,1,23854.854,1
1863,0,2,1,0,0,0,2. Black Non-Hispanic,55,54,1,1,0,27907.416,0,0,0,0,0,26640.088,0,5782,2891,57,1,0,0,0,0,0,15423.61,1
1392,0,4,1,0,0,0,1. White Non-Hispanic,75,74,0,0,0,40618.738,0,0,0,0,0,13721.48,1,4606,4606,76,0,0,0,0,0,0,124978.9,0
2284,0,2,0,0,0,0,1. White Non-Hispanic,89,88,0,0,1,4800,0,0,0,0,0,10500,1,19569,19569,91,0,0,0,0,0,0,11300,1
1545,0,3,0,0,0,0,1. White Non-Hispanic,61,59,1,1,0,18853.523,0,0,0,0,0,23916.98,0,8578,8578,61,1,0,0,0,0,0,23464.109,0
25,1,3,1,1,0,0,2. Black Non-Hispanic,37,36,1,0,1,20496.949,1,0,0,1,1,81313.625,0,10976,10976,38,0,0,0,0,1,1,31051.652,0
1804,0,3,1,0,0,0,2. Black Non-Hispanic,,63,0,1,0,14970.403,,,,,,,,6997,6997,,,,,,,,,
870,0,4,1,0,0,0,1. White Non-Hispanic,,54,0,0,0,105200,,,,,,,,3832,3832,,,,,,,,,
1641,0,3,1,0,0,0,2. Black Non-Hispanic,62,61,0,0,0,35656.5,0,0,0,0,0,27993.686,0,1553,776,63,0,0,0,0,0,0,111868.7,0
2027,0,2,0,0,0,0,2. Black Non-Hispanic,,36,0,0,0,103990.41,,,,,,,,19031,6344,,,,,,,,,
2054,0,4,1,0,0,0,1. White Non-Hispanic,,35,0,0,0,114974.95,,,,,,,,2355,1178,,,,,,,,,
2074,0,3,1,0,1,0,1. White Non-Hispanic,,43,1,1,0,89796.641,,,,,,,,3616,3616,,,,,,,,,
1043,0,3,1,1,1,0,5. Hispanic,20,19,1,1,1,23715.277,0,0,0,0,1,18125.914,1,13256,3314,,,,,,,,,
718,0,2,1,1,0,0,2. Black Non-Hispanic,,90,1,1,0,207400,,,,,,,,4515,2258,,,,,,,,,
140,1,4,1,1,0,0,5. Hispanic,26,25,1,1,1,29754.949,0,0,1,0,1,38625.73,0,8006,2669,27,1,0,0,1,0,1,66071.063,0
1372,0,4,1,0,0,0,4. Other / MultiRacial,82,84,0,0,0,78120.68,0,0,0,0,0,92867.523,0,2521,2521,77,1,0,0,0,0,0,-240067.53,1
1782,0,1,0,1,0,0,5. Hispanic,,59,1,1,0,20785.242,,,,,,,,37212,37212,,,,,,,,,
1432,0,4,1,0,0,0,1. White Non-Hispanic,,32,0,0,0,146592.78,,,,,,,,17856,8928,,,,,,,,,
